CustomerID,Transactions,Total_Spending,Avg_Spending,Total_Quantity,First_Purchase,Last_Purchase,Products,Lifetime_Days,Spending_per_Day
12346.0,2,154367.2,77183.6,148430,2011-01-18 10:01:00,2011-01-18 10:17:00,1,1,154367.2
12347.0,7,4310.0,23.681318681318682,2458,2010-12-07 14:57:00,2011-12-07 15:52:00,103,366,11.775956284153006
12348.0,4,1797.24,57.97548387096774,2341,2010-12-16 19:09:00,2011-09-25 13:13:00,22,283,6.350671378091873
12349.0,1,1757.55,24.076027397260273,631,2011-11-21 09:51:00,2011-11-21 09:51:00,73,1,1757.55
12350.0,1,334.4,19.670588235294115,197,2011-02-02 16:01:00,2011-02-02 16:01:00,17,1,334.4
12352.0,11,3466.67,36.491263157894736,602,2011-02-16 12:33:00,2011-11-03 14:37:00,59,261,13.282260536398468
12353.0,1,89.0,22.25,20,2011-05-19 17:47:00,2011-05-19 17:47:00,4,1,89.0
12354.0,1,1079.4,18.610344827586207,530,2011-04-21 13:11:00,2011-04-21 13:11:00,58,1,1079.4
12355.0,1,459.4,35.33846153846154,240,2011-05-09 13:49:00,2011-05-09 13:49:00,13,1,459.4
12356.0,3,2811.43,47.65135593220339,1591,2011-01-18 09:50:00,2011-11-17 08:40:00,53,303,9.278646864686468
12357.0,1,6207.67,47.38679389312977,2708,2011-11-06 16:07:00,2011-11-06 16:07:00,131,1,6207.67
12358.0,2,1168.06,61.47684210526315,248,2011-07-12 10:04:00,2011-12-08 10:26:00,13,150,7.787066666666666
12359.0,6,6499.63,25.589094488188977,1632,2011-01-12 12:43:00,2011-12-02 11:21:00,214,324,20.060586419753086
12360.0,3,2662.06,20.63612403100775,1165,2011-05-23 09:43:00,2011-10-18 15:22:00,105,149,17.866174496644295
12361.0,1,189.9,18.990000000000002,91,2011-02-25 13:51:00,2011-02-25 13:51:00,10,1,189.9
12362.0,13,5297.88,19.335328467153285,2246,2011-02-17 10:30:00,2011-12-06 15:40:00,201,293,18.08150170648464
12364.0,4,1313.1,15.448235294117646,1506,2011-08-19 15:24:00,2011-12-02 10:22:00,70,105,12.505714285714285
12365.0,3,962.0699999999999,41.829130434782606,175,2011-02-21 13:51:00,2011-02-21 14:04:00,22,1,962.0699999999999
12367.0,1,168.9,15.354545454545455,173,2011-12-05 16:48:00,2011-12-05 16:48:00,11,1,168.9
12370.0,4,3545.69,21.231676646706585,2353,2010-12-14 12:58:00,2011-10-19 14:51:00,143,310,11.437709677419354
12371.0,2,1887.96,29.96761904761905,591,2011-10-11 10:43:00,2011-10-26 10:16:00,63,15,125.864
12372.0,3,1298.04,24.962307692307693,794,2011-02-16 12:46:00,2011-09-29 12:12:00,34,225,5.769066666666666
12373.0,1,364.6,26.042857142857144,197,2011-02-01 13:10:00,2011-02-01 13:10:00,14,1,364.6
12374.0,1,742.9300000000001,22.513030303030305,342,2011-11-14 15:37:00,2011-11-14 15:37:00,33,1,742.9300000000001
12375.0,3,459.58000000000004,25.532222222222224,179,2011-09-02 14:23:00,2011-12-07 11:27:00,14,96,4.787291666666667
12377.0,2,1628.12,21.144415584415583,944,2010-12-20 09:37:00,2011-01-28 15:45:00,72,40,40.702999999999996
12378.0,1,4008.62,18.30420091324201,2529,2011-08-02 10:34:00,2011-08-02 10:34:00,219,1,4008.62
12379.0,3,854.19,20.833902439024392,408,2011-06-22 16:32:00,2011-09-19 10:09:00,39,89,9.597640449438202
12380.0,5,2729.06,25.99104761904762,1128,2011-06-07 09:49:00,2011-11-18 11:27:00,77,165,16.539757575757577
12381.0,6,1886.66,20.732527472527472,833,2011-08-12 09:57:00,2011-12-05 12:44:00,70,116,16.264310344827585
12383.0,6,1861.81,18.6181,1535,2010-12-22 14:28:00,2011-06-08 08:02:00,84,168,11.082202380952381
12384.0,3,604.38,20.146,131,2011-08-10 11:23:00,2011-11-11 08:39:00,26,93,6.498709677419355
12386.0,2,401.9,40.19,354,2010-12-08 09:53:00,2011-01-06 12:37:00,10,30,13.396666666666667
12388.0,6,2780.66,27.8066,1462,2011-01-17 11:12:00,2011-11-24 12:30:00,57,312,8.912371794871794
12390.0,1,549.84,17.1825,353,2011-09-21 09:33:00,2011-09-21 09:33:00,32,1,549.84
12391.0,1,460.89,4.6089,300,2011-11-18 12:07:00,2011-11-18 12:07:00,92,1,460.89
12393.0,4,1582.6000000000001,24.728125000000002,816,2011-01-11 09:47:00,2011-09-28 15:41:00,47,261,6.06360153256705
12394.0,2,1272.48,47.12888888888889,819,2011-05-06 14:01:00,2011-10-07 08:08:00,26,154,8.262857142857143
12395.0,15,3038.98,19.11308176100629,2123,2010-12-03 16:35:00,2011-11-24 12:20:00,91,356,8.536460674157304
12397.0,2,2409.9,19.126190476190477,1263,2011-07-27 14:21:00,2011-11-04 09:52:00,110,100,24.099
12398.0,1,1635.6599999999999,19.24305882352941,1394,2011-10-25 10:27:00,2011-10-25 10:27:00,85,1,1635.6599999999999
12399.0,4,1108.65,18.790677966101697,1178,2011-03-23 09:42:00,2011-08-12 13:15:00,47,143,7.752797202797203
12401.0,1,84.3,16.86,11,2011-02-09 13:50:00,2011-02-09 13:50:00,5,1,84.3
12402.0,1,225.6,20.509090909090908,94,2011-01-20 13:49:00,2011-01-20 13:49:00,11,1,225.6
12403.0,2,445.7,74.28333333333333,97,2011-10-21 10:51:00,2011-10-21 11:00:00,5,1,445.7
12405.0,1,1710.39,31.67388888888889,857,2011-07-14 08:52:00,2011-07-14 08:52:00,54,1,1710.39
12406.0,3,3549.85,32.868981481481484,1827,2011-06-09 10:23:00,2011-11-17 19:22:00,92,162,21.912654320987652
12407.0,5,1708.1200000000001,22.183376623376624,1416,2011-03-20 13:21:00,2011-10-21 10:11:00,57,215,7.9447441860465124
12408.0,9,2934.5299999999997,25.96929203539823,1419,2011-03-24 14:46:00,2011-11-07 12:30:00,81,228,12.870745614035087
12409.0,7,11088.41,97.26675438596492,5559,2011-06-10 12:19:00,2011-09-22 10:38:00,91,104,106.61932692307693
12410.0,3,705.5799999999999,25.19928571428571,213,2011-02-04 10:38:00,2011-02-11 15:47:00,26,8,88.19749999999999
12412.0,3,1226.88,20.112786885245903,829,2011-06-23 13:51:00,2011-09-26 10:16:00,43,95,12.914526315789475
12413.0,5,822.0500000000001,20.551250000000003,290,2011-01-06 16:12:00,2011-10-04 09:00:00,29,271,3.0333948339483396
12414.0,3,562.41,31.244999999999997,300,2011-02-02 14:51:00,2011-05-06 14:51:00,16,94,5.983085106382978
12415.0,26,126912.65,163.12679948586117,78098,2011-01-06 11:12:00,2011-11-15 14:22:00,444,314,404.1804140127388
12417.0,12,3719.4,18.784848484848485,1565,2010-12-17 11:51:00,2011-12-06 14:52:00,158,355,10.47718309859155
12418.0,1,668.58,19.664117647058823,407,2011-08-19 11:08:00,2011-08-19 11:08:00,34,1,668.58
12420.0,1,600.39,20.70310344827586,345,2011-10-07 08:55:00,2011-10-07 08:55:00,29,1,600.39
12421.0,5,807.8100000000001,17.56108695652174,485,2011-01-24 15:09:00,2011-11-24 09:07:00,33,304,2.6572697368421054
